"ID","t","Age"
"Sim-Animal-Ind-42",20,"!"
"Sim-Animal-Ind-42",30,"A4"
"Sim-Animal-Ind-42",40,"A10+"
"Sim-Animal-Ind-42",50,"A10+"
"Sim-Animal-Ind-42",60,"!"
"Sim-Animal-Ind-42",70,"!"
"Sim-Animal-Ind-42",80,"!"
"Sim-Animal-Ind-42",90,"!"
"Sim-Animal-Ind-42",100,"!"
"Sim-Animal-Ind-43",10,"!"
"Sim-Animal-Ind-43",20,"!"
"Sim-Animal-Ind-43",30,"A4"
"Sim-Animal-Ind-43",40,"A10+"
"Sim-Animal-Ind-43",50,"A10+"
"Sim-Animal-Ind-43",60,"A10+"
"Sim-Animal-Ind-43",70,"A10+"
"Sim-Animal-Ind-43",80,"!"
"Sim-Animal-Ind-43",90,"!"
"Sim-Animal-Ind-43",100,"!"
"Sim-Animal-Ind-44",10,"!"
"Sim-Animal-Ind-44",20,"!"
"Sim-Animal-Ind-44",30,"A4"
"Sim-Animal-Ind-44",40,"A10+"
"Sim-Animal-Ind-44",50,"A10+"
"Sim-Animal-Ind-44",60,"A10+"
"Sim-Animal-Ind-44",70,"!"
"Sim-Animal-Ind-44",80,"!"
"Sim-Animal-Ind-44",90,"!"
"Sim-Animal-Ind-44",100,"!"
"Sim-Animal-Ind-45",10,"!"
"Sim-Animal-Ind-45",20,"!"
"Sim-Animal-Ind-45",30,"!"
"Sim-Animal-Ind-45",40,"!"
"Sim-Animal-Ind-45",50,"!"
"Sim-Animal-Ind-45",60,"!"
"Sim-Animal-Ind-45",70,"!"
"Sim-Animal-Ind-45",80,"!"
"Sim-Animal-Ind-45",90,"!"
"Sim-Animal-Ind-45",100,"!"
"Sim-Animal-Ind-46",10,"!"
"Sim-Animal-Ind-46",20,"!"
"Sim-Animal-Ind-46",30,"A4"
"Sim-Animal-Ind-46",40,"!"
"Sim-Animal-Ind-46",50,"!"
"Sim-Animal-Ind-46",60,"!"
"Sim-Animal-Ind-46",70,"!"
"Sim-Animal-Ind-46",80,"!"
"Sim-Animal-Ind-46",90,"!"
"Sim-Animal-Ind-46",100,"!"
"Sim-Animal-Ind-47",10,"!"
"Sim-Animal-Ind-47",20,"!"
"Sim-Animal-Ind-47",30,"A4"
"Sim-Animal-Ind-47",40,"A10+"
"Sim-Animal-Ind-47",50,"!"
"Sim-Animal-Ind-47",60,"!"
"Sim-Animal-Ind-47",70,"!"
"Sim-Animal-Ind-47",80,"!"
"Sim-Animal-Ind-47",90,"!"
"Sim-Animal-Ind-47",100,"!"
"Sim-Animal-Ind-48",10,"!"
"Sim-Animal-Ind-48",20,"!"
"Sim-Animal-Ind-48",30,"A4"
"Sim-Animal-Ind-48",40,"A10+"
"Sim-Animal-Ind-48",50,"!"
"Sim-Animal-Ind-48",60,"!"
"Sim-Animal-Ind-48",70,"!"
"Sim-Animal-Ind-48",80,"!"
"Sim-Animal-Ind-48",90,"!"
"Sim-Animal-Ind-48",100,"!"
"Sim-Animal-Ind-49",10,"!"
"Sim-Animal-Ind-49",20,"!"
"Sim-Animal-Ind-49",30,"A4"
"Sim-Animal-Ind-49",40,"A10+"
"Sim-Animal-Ind-49",50,"A10+"
"Sim-Animal-Ind-49",60,"!"
"Sim-Animal-Ind-49",70,"!"
"Sim-Animal-Ind-49",80,"!"
"Sim-Animal-Ind-49",90,"!"
"Sim-Animal-Ind-49",100,"!"
"Sim-Animal-Ind-50",10,"!"
"Sim-Animal-Ind-50",20,"!"
"Sim-Animal-Ind-50",30,"A4"
"Sim-Animal-Ind-50",40,"A10+"
"Sim-Animal-Ind-50",50,"A10+"
"Sim-Animal-Ind-50",60,"!"
"Sim-Animal-Ind-50",70,"!"
"Sim-Animal-Ind-50",80,"!"
"Sim-Animal-Ind-50",90,"!"
"Sim-Animal-Ind-50",100,"!"
"Sim-Animal-Ind-51",10,"!"
"Sim-Animal-Ind-51",20,"!"
"Sim-Animal-Ind-51",30,"A4"
"Sim-Animal-Ind-51",40,"!"
"Sim-Animal-Ind-51",50,"!"
"Sim-Animal-Ind-51",60,"!"
"Sim-Animal-Ind-51",70,"!"
"Sim-Animal-Ind-51",80,"!"
"Sim-Animal-Ind-51",90,"!"
"Sim-Animal-Ind-51",100,"!"
"Sim-Animal-Ind-52",10,"!"
"Sim-Animal-Ind-52",20,"!"
"Sim-Animal-Ind-52",30,"A4"
"Sim-Animal-Ind-52",40,"A10+"
"Sim-Animal-Ind-52",50,"!"
"Sim-Animal-Ind-52",60,"!"
"Sim-Animal-Ind-52",70,"!"
"Sim-Animal-Ind-52",80,"!"
"Sim-Animal-Ind-52",90,"!"
"Sim-Animal-Ind-52",100,"!"
"Sim-Animal-Ind-53",10,"!"
"Sim-Animal-Ind-53",20,"!"
"Sim-Animal-Ind-53",30,"A4"
"Sim-Animal-Ind-53",40,"A10+"
"Sim-Animal-Ind-53",50,"A10+"
"Sim-Animal-Ind-53",60,"!"
"Sim-Animal-Ind-53",70,"!"
"Sim-Animal-Ind-53",80,"!"
"Sim-Animal-Ind-53",90,"!"
"Sim-Animal-Ind-53",100,"!"
"Sim-Animal-Ind-54",10,"!"
"Sim-Animal-Ind-54",20,"!"
"Sim-Animal-Ind-54",30,"A4"
"Sim-Animal-Ind-54",40,"A10+"
"Sim-Animal-Ind-54",50,"A10+"
"Sim-Animal-Ind-54",60,"A10+"
"Sim-Animal-Ind-54",70,"A10+"
"Sim-Animal-Ind-54",80,"!"
"Sim-Animal-Ind-54",90,"!"
"Sim-Animal-Ind-54",100,"!"
"Sim-Animal-Ind-55",10,"!"
"Sim-Animal-Ind-55",20,"!"
"Sim-Animal-Ind-55",30,"A4"
"Sim-Animal-Ind-55",40,"!"
"Sim-Animal-Ind-55",50,"!"
"Sim-Animal-Ind-55",60,"!"
"Sim-Animal-Ind-55",70,"!"
"Sim-Animal-Ind-55",80,"!"
"Sim-Animal-Ind-55",90,"!"
"Sim-Animal-Ind-55",100,"!"
"Sim-Animal-Ind-56",10,"!"
"Sim-Animal-Ind-56",20,"!"
"Sim-Animal-Ind-56",30,"A1"
"Sim-Animal-Ind-56",40,"A10+"
"Sim-Animal-Ind-56",50,"A10+"
"Sim-Animal-Ind-56",60,"!"
"Sim-Animal-Ind-56",70,"!"
"Sim-Animal-Ind-56",80,"!"
"Sim-Animal-Ind-56",90,"!"
"Sim-Animal-Ind-56",100,"!"
"Sim-Animal-Ind-57",10,"!"
"Sim-Animal-Ind-57",20,"!"
"Sim-Animal-Ind-57",30,"A1"
"Sim-Animal-Ind-57",40,"!"
"Sim-Animal-Ind-57",50,"!"
"Sim-Animal-Ind-57",60,"!"
"Sim-Animal-Ind-57",70,"!"
"Sim-Animal-Ind-57",80,"!"
"Sim-Animal-Ind-57",90,"!"
"Sim-Animal-Ind-57",100,"!"
"Sim-Animal-Ind-58",10,"!"
"Sim-Animal-Ind-58",20,"!"
"Sim-Animal-Ind-58",30,"!"
"Sim-Animal-Ind-58",40,"!"
"Sim-Animal-Ind-58",50,"!"
"Sim-Animal-Ind-58",60,"!"
"Sim-Animal-Ind-58",70,"!"
"Sim-Animal-Ind-58",80,"!"
"Sim-Animal-Ind-58",90,"!"
"Sim-Animal-Ind-58",100,"!"
"Sim-Animal-Ind-59",10,"!"
"Sim-Animal-Ind-59",20,"!"
"Sim-Animal-Ind-59",30,"A1"
"Sim-Animal-Ind-59",40,"!"
"Sim-Animal-Ind-59",50,"!"
"Sim-Animal-Ind-59",60,"!"
"Sim-Animal-Ind-59",70,"!"
"Sim-Animal-Ind-59",80,"!"
"Sim-Animal-Ind-59",90,"!"
"Sim-Animal-Ind-59",100,"!"
"Sim-Animal-Ind-60",10,"!"
"Sim-Animal-Ind-60",20,"!"
"Sim-Animal-Ind-60",30,"A1"
"Sim-Animal-Ind-60",40,"A10+"
"Sim-Animal-Ind-60",50,"!"
"Sim-Animal-Ind-60",60,"!"
"Sim-Animal-Ind-60",70,"!"
"Sim-Animal-Ind-60",80,"!"
"Sim-Animal-Ind-60",90,"!"
"Sim-Animal-Ind-60",100,"!"
"Sim-Animal-Ind-61",10,"!"
"Sim-Animal-Ind-61",20,"!"
"Sim-Animal-Ind-61",30,"A1"
"Sim-Animal-Ind-61",40,"A10+"
"Sim-Animal-Ind-61",50,"!"
"Sim-Animal-Ind-61",60,"!"
