ID,t,DS
Ind. 56,100,R
Ind. 57,10,Sa
Ind. 57,20,Sa
Ind. 57,30,Sa
Ind. 57,40,Sa
Ind. 57,50,Sa
Ind. 57,60,Sa
Ind. 57,70,Sa
Ind. 57,80,Sa
Ind. 57,90,Sa
Ind. 57,100,Sa
Ind. 58,10,Sa
Ind. 58,20,Sa
Ind. 58,30,Sa
Ind. 58,40,Sa
Ind. 58,50,Sa
Ind. 58,60,Sa
Ind. 58,70,I
Ind. 58,80,I
Ind. 58,90,I
Ind. 58,100,I
Ind. 59,10,Sa
Ind. 59,20,Sa
Ind. 59,30,Sa
Ind. 59,40,I
Ind. 59,50,I
Ind. 59,60,I
Ind. 59,70,I
Ind. 59,80,R
Ind. 59,90,R
Ind. 59,100,R
Ind. 60,10,Sa
Ind. 60,20,Sa
Ind. 60,30,Sa
Ind. 60,40,Sa
Ind. 60,50,Sa
Ind. 60,60,Sa
Ind. 60,70,Sa
Ind. 60,80,Sa
Ind. 60,90,Sa
Ind. 60,100,Sa
Ind. 61,10,Sa
Ind. 61,20,Sa
Ind. 61,30,Sa
Ind. 61,40,Sa
Ind. 61,50,Sa
Ind. 61,60,Sa
Ind. 61,70,Sa
Ind. 61,80,Sa
Ind. 61,90,Sa
Ind. 61,100,Sa
Ind. 62,10,Sa
Ind. 62,20,Sa
Ind. 62,30,Sa
Ind. 62,40,I
Ind. 62,50,I
Ind. 62,60,I
Ind. 62,70,R
Ind. 62,80,R
Ind. 62,90,R
Ind. 62,100,R
Ind. 63,10,Sa
Ind. 63,20,Sa
Ind. 63,30,Sa
Ind. 63,40,Sa
Ind. 63,50,I
Ind. 63,60,I
Ind. 63,70,R
Ind. 63,80,R
Ind. 63,90,R
Ind. 63,100,R
Ind. 64,10,Sa
Ind. 64,20,Sa
Ind. 64,30,Sa
Ind. 64,40,I
Ind. 64,50,I
Ind. 64,60,I
Ind. 64,70,I
Ind. 64,80,I
Ind. 64,90,I
Ind. 64,100,I
Ind. 65,10,Sa
Ind. 65,20,Sa
Ind. 65,30,Sa
Ind. 65,40,Sa
Ind. 65,50,Sa
Ind. 65,60,Sa
Ind. 65,70,Sa
Ind. 65,80,Sa
Ind. 65,90,Sa
Ind. 65,100,Sa
Ind. 66,10,Sa
Ind. 66,20,Sa
Ind. 66,30,Sa
Ind. 66,40,Sa
Ind. 66,50,Sa
Ind. 66,60,Sa
Ind. 66,70,Sa
Ind. 66,80,Sa
Ind. 66,90,Sa
Ind. 66,100,Sa
Ind. 67,10,Sa
Ind. 67,20,Sa
Ind. 67,30,Sa
Ind. 67,40,Sa
Ind. 67,50,Sa
Ind. 67,60,Sa
Ind. 67,70,Sa
Ind. 67,80,Sa
Ind. 67,90,Sa
Ind. 67,100,Sa
Ind. 68,10,Sa
Ind. 68,20,Sa
Ind. 68,30,Sa
Ind. 68,40,Sa
Ind. 68,50,I
Ind. 68,60,I
Ind. 68,70,R
Ind. 68,80,R
Ind. 68,90,R
Ind. 68,100,R
Ind. 69,10,Sa
Ind. 69,20,Sa
Ind. 69,30,Sa
Ind. 69,40,Sa
Ind. 69,50,I
Ind. 69,60,I
Ind. 69,70,I
Ind. 69,80,I
Ind. 69,90,I
Ind. 69,100,R
Ind. 70,10,Sa
Ind. 70,20,Sa
Ind. 70,30,Sa
Ind. 70,40,Sa
Ind. 70,50,Sa
Ind. 70,60,Sa
Ind. 70,70,Sa
Ind. 70,80,Sa
Ind. 70,90,Sa
Ind. 70,100,Sa
Ind. 71,10,Sa
Ind. 71,20,Sa
Ind. 71,30,Sa
Ind. 71,40,Sa
Ind. 71,50,Sa
Ind. 71,60,Sa
Ind. 71,70,Sa
Ind. 71,80,Sa
Ind. 71,90,Sa
Ind. 71,100,Sa
Ind. 72,10,Sa
Ind. 72,20,Sa
Ind. 72,30,Sa
Ind. 72,40,Sa
Ind. 72,50,Sa
Ind. 72,60,I
Ind. 72,70,R
Ind. 72,80,R
Ind. 72,90,R
Ind. 72,100,R
Ind. 73,10,Sa
Ind. 73,20,Sa
Ind. 73,30,Sa
Ind. 73,40,Sa
Ind. 73,50,I
Ind. 73,60,R
Ind. 73,70,R
Ind. 73,80,R
Ind. 73,90,R
Ind. 73,100,R
Ind. 74,10,Sa
Ind. 74,20,Sa
Ind. 74,30,Sa
Ind. 74,40,Sa
Ind. 74,50,Sa
Ind. 74,60,I
Ind. 74,70,I
Ind. 74,80,R
Ind. 74,90,R
Ind. 74,100,R
Ind. 75,10,Sa
Ind. 75,20,Sa
Ind. 75,30,I
Ind. 75,40,I
Ind. 75,50,I
Ind. 75,60,R
Ind. 75,70,R
Ind. 75,80,R
Ind. 75,90,R
Ind. 75,100,R
Ind. 76,10,Sa
Ind. 76,20,Sa
Ind. 76,30,Sa
Ind. 76,40,I
Ind. 76,50,I
Ind. 76,60,I
Ind. 76,70,R
Ind. 76,80,R
Ind. 76,90,R
Ind. 76,100,R
Ind. 77,10,Sa
Ind. 77,20,Sa
Ind. 77,30,Sa
Ind. 77,40,Sa
Ind. 77,50,Sa
Ind. 77,60,Sa
Ind. 77,70,Sa
Ind. 77,80,Sa
Ind. 77,90,Sa
Ind. 77,100,Sa
Ind. 78,10,Sa
Ind. 78,20,Sa
Ind. 78,30,Sa
Ind. 78,40,Sa
Ind. 78,50,Sa
Ind. 78,60,Sa
Ind. 78,70,Sa
Ind. 78,80,Sa
Ind. 78,90,Sa
Ind. 78,100,Sa
Ind. 79,10,Sa
Ind. 79,20,Sa
Ind. 79,30,Sa
Ind. 79,40,Sa
Ind. 79,50,Sa
Ind. 79,60,I
Ind. 79,70,I
Ind. 79,80,I
Ind. 79,90,R
Ind. 79,100,R
Ind. 80,10,Sa
Ind. 80,20,Sa
Ind. 80,30,Sa
Ind. 80,40,Sa
Ind. 80,50,I
Ind. 80,60,R
Ind. 80,70,R
Ind. 80,80,R
Ind. 80,90,R
Ind. 80,100,R
Ind. 81,10,Sa
Ind. 81,20,Sa
Ind. 81,30,Sa
Ind. 81,40,I
Ind. 81,50,R
Ind. 81,60,R
Ind. 81,70,R
Ind. 81,80,R
Ind. 81,90,R
Ind. 81,100,R
Ind. 82,10,Sa
Ind. 82,20,Sa
Ind. 82,30,Sa
Ind. 82,40,Sa
Ind. 82,50,Sa
Ind. 82,60,Sa
Ind. 82,70,I
Ind. 82,80,I
Ind. 82,90,I
Ind. 82,100,I
Ind. 83,10,Sa
Ind. 83,20,Sa
Ind. 83,30,Sa
Ind. 83,40,Sa
Ind. 83,50,Sa
Ind. 83,60,Sa
Ind. 83,70,Sa
Ind. 83,80,Sa
Ind. 83,90,Sa
Ind. 83,100,Sa
Ind. 84,10,Sa
Ind. 84,20,Sa
Ind. 84,30,Sa
Ind. 84,40,Sa
Ind. 84,50,Sa
Ind. 84,60,R
Ind. 84,70,R
Ind. 84,80,R
Ind. 84,90,R
Ind. 84,100,R
Ind. 85,10,Sa
Ind. 85,20,Sa
Ind. 85,30,Sa
Ind. 85,40,Sa
Ind. 85,50,I
Ind. 85,60,I
Ind. 85,70,I
Ind. 85,80,R
Ind. 85,90,R
Ind. 85,100,R
Ind. 86,10,Sa
Ind. 86,20,Sa
Ind. 86,30,Sa
Ind. 86,40,Sa
Ind. 86,50,I
Ind. 86,60,I
Ind. 86,70,R
Ind. 86,80,R
Ind. 86,90,R
Ind. 86,100,R
Ind. 87,10,Sa
Ind. 87,20,Sa
Ind. 87,30,Sa
Ind. 87,40,Sa
Ind. 87,50,Sa
Ind. 87,60,Sa
Ind. 87,70,Sa
Ind. 87,80,Sa
Ind. 87,90,Sa
Ind. 87,100,Sa
Ind. 88,10,Sa
Ind. 88,20,Sa
Ind. 88,30,Sa
Ind. 88,40,Sa
Ind. 88,50,Sa
Ind. 88,60,Sa
Ind. 88,70,Sa
Ind. 88,80,I
Ind. 88,90,I
Ind. 88,100,R
Ind. 89,10,Sa
Ind. 89,20,Sa
Ind. 89,30,Sa
Ind. 89,40,Sa
Ind. 89,50,Sa
Ind. 89,60,Sa
Ind. 89,70,Sa
Ind. 89,80,Sa
Ind. 89,90,Sa
Ind. 89,100,Sa
Ind. 90,10,Sa
Ind. 90,20,Sa
Ind. 90,30,I
Ind. 90,40,I
Ind. 90,50,R
Ind. 90,60,R
Ind. 90,70,R
Ind. 90,80,R
Ind. 90,90,R
Ind. 90,100,R
Ind. 91,10,Sa
Ind. 91,20,Sa
Ind. 91,30,Sa
Ind. 91,40,Sa
Ind. 91,50,R
Ind. 91,60,R
Ind. 91,70,R
Ind. 91,80,R
Ind. 91,90,R
Ind. 91,100,R
Ind. 92,10,Sa
Ind. 92,20,Sa
Ind. 92,30,Sa
Ind. 92,40,Sa
Ind. 92,50,Sa
Ind. 92,60,R
Ind. 92,70,R
Ind. 92,80,R
Ind. 92,90,R
Ind. 92,100,R
Ind. 93,10,Sa
Ind. 93,20,Sa
Ind. 93,30,Sa
Ind. 93,40,Sa
Ind. 93,50,Sa
Ind. 93,60,Sa
Ind. 93,70,Sa
Ind. 93,80,Sa
Ind. 93,90,R
Ind. 93,100,R
Ind. 94,10,Sa
Ind. 94,20,Sa
Ind. 94,30,Sa
Ind. 94,40,R
Ind. 94,50,R
Ind. 94,60,R
Ind. 94,70,R
Ind. 94,80,R
Ind. 94,90,R
Ind. 94,100,R
Ind. 95,10,Sa
Ind. 95,20,Sa
Ind. 95,30,Sa
Ind. 95,40,Sa
Ind. 95,50,Sa
Ind. 95,60,Sa
Ind. 95,70,Sa
Ind. 95,80,I
Ind. 95,90,I
Ind. 95,100,I
Ind. 96,10,Sa
Ind. 96,20,Sa
Ind. 96,30,I
Ind. 96,40,R
Ind. 96,50,R
Ind. 96,60,R
Ind. 96,70,R
Ind. 96,80,R
Ind. 96,90,R
Ind. 96,100,R
Ind. 97,10,Sa
Ind. 97,20,Sa
Ind. 97,30,Sa
Ind. 97,40,Sa
Ind. 97,50,Sa
Ind. 97,60,Sa
Ind. 97,70,Sa
Ind. 97,80,Sa
Ind. 97,90,Sa
Ind. 97,100,Sa
Ind. 98,10,Sa
Ind. 98,20,Sa
Ind. 98,30,Sa
Ind. 98,40,I
Ind. 98,50,I
Ind. 98,60,I
Ind. 98,70,I
Ind. 98,80,I
Ind. 98,90,I
Ind. 98,100,I
Ind. 99,10,Sa
Ind. 99,20,Sa
Ind. 99,30,Sa
Ind. 99,40,Sa
Ind. 99,50,I
Ind. 99,60,I
Ind. 99,70,R
Ind. 99,80,R
Ind. 99,90,R
Ind. 99,100,R
Ind. 100,10,Sa
Ind. 100,20,Sa
Ind. 100,30,Sa
Ind. 100,40,Sa
Ind. 100,50,Sa
Ind. 100,60,I
Ind. 100,70,I
Ind. 100,80,I
Ind. 100,90,I
Ind. 100,100,R
Ind. 101,10,Sb
Ind. 101,20,I
Ind. 101,30,I
Ind. 101,40,R
Ind. 101,50,R
Ind. 101,60,R
Ind. 101,70,R
Ind. 101,80,R
Ind. 101,90,R
Ind. 101,100,R
Ind. 102,10,Sb
Ind. 102,20,Sb
Ind. 102,30,Sb
Ind. 102,40,I
Ind. 102,50,R
Ind. 102,60,R
Ind. 102,70,R
Ind. 102,80,R
Ind. 102,90,R
Ind. 102,100,R
Ind. 103,10,Sb
Ind. 103,20,Sb
Ind. 103,30,Sb
Ind. 103,40,R
Ind. 103,50,R
Ind. 103,60,R
Ind. 103,70,R
Ind. 103,80,R
Ind. 103,90,R
Ind. 103,100,R
Ind. 104,10,Sb
Ind. 104,20,Sb
Ind. 104,30,Sb
Ind. 104,40,Sb
Ind. 104,50,I
Ind. 104,60,I
Ind. 104,70,R
Ind. 104,80,R
Ind. 104,90,R
Ind. 104,100,R
Ind. 105,10,Sb
Ind. 105,20,Sb
Ind. 105,30,I
Ind. 105,40,I
Ind. 105,50,I
Ind. 105,60,I
Ind. 105,70,I
Ind. 105,80,R
Ind. 105,90,R
Ind. 105,100,R
Ind. 106,10,Sb
Ind. 106,20,Sb
Ind. 106,30,Sb
Ind. 106,40,Sb
Ind. 106,50,I
Ind. 106,60,I
Ind. 106,70,R
Ind. 106,80,R
Ind. 106,90,R
Ind. 106,100,R
Ind. 107,10,Sb
Ind. 107,20,Sb
Ind. 107,30,Sb
Ind. 107,40,I
Ind. 107,50,R
Ind. 107,60,R
Ind. 107,70,R
Ind. 107,80,R
Ind. 107,90,R
Ind. 107,100,R
Ind. 108,10,Sb
Ind. 108,20,Sb
Ind. 108,30,I
Ind. 108,40,I
Ind. 108,50,I
Ind. 108,60,R
Ind. 108,70,R
Ind. 108,80,R
Ind. 108,90,R
Ind. 108,100,R
Ind. 109,10,Sb
Ind. 109,20,Sb
Ind. 109,30,Sb
Ind. 109,40,I
Ind. 109,50,I
Ind. 109,60,I
Ind. 109,70,I
Ind. 109,80,I
Ind. 109,90,R
Ind. 109,100,R
Ind. 110,10,Sb
Ind. 110,20,Sb
Ind. 110,30,Sb
Ind. 110,40,Sb
Ind. 110,50,I
Ind. 110,60,I
Ind. 110,70,R
Ind. 110,80,R
Ind. 110,90,R
Ind. 110,100,R
Ind. 111,10,Sb
Ind. 111,20,I
Ind. 111,30,R
Ind. 111,40,R
Ind. 111,50,R
Ind. 111,60,R
Ind. 111,70,R
Ind. 111,80,R
Ind. 111,90,R
Ind. 111,100,R
Ind. 112,10,Sb
Ind. 112,20,Sb
Ind. 112,30,Sb
Ind. 112,40,I
Ind. 112,50,I
Ind. 112,60,I
Ind. 112,70,I
Ind. 112,80,R
Ind. 112,90,R
Ind. 112,100,R
Ind. 113,10,Sb
Ind. 113,20,Sb
Ind. 113,30,I
Ind. 113,40,I
Ind. 113,50,R
Ind. 113,60,R
Ind. 113,70,R
Ind. 113,80,R
Ind. 113,90,R
Ind. 113,100,R
Ind. 114,10,Sb
Ind. 114,20,Sb
Ind. 114,30,Sb
Ind. 114,40,Sb
Ind. 114,50,Sb
Ind. 114,60,Sb
Ind. 114,70,Sb
Ind. 114,80,I
Ind. 114,90,I
Ind. 114,100,I
Ind. 115,10,Sb
Ind. 115,20,Sb
Ind. 115,30,Sb
Ind. 115,40,R
Ind. 115,50,R
